age;job;marital;education;default;housing;loan;contact
30;blue-collar;married;basic.9y;no;yes;no;cellular
39;services;single;high.school;no;no;no;telephone
25;services;married;high.school;no;yes;no;telephone
38;services;married;basic.9y;no;unknown;unknown;telephone
47;admin.;married;university.degree;no;yes;no;cellular
32;services;single;university.degree;no;no;no;cellular
32;admin.;single;university.degree;no;yes;no;cellular
41;entrepreneur;married;university.degree;unknown;yes;no;cellular
31;services;divorced;professional.course;no;no;no;cellular
35;blue-collar;married;basic.9y;unknown;no;no;telephone
25;services;single;basic.6y;unknown;yes;no;cellular
36;self-employed;single;basic.4y;no;no;no;cellular
36;admin.;married;high.school;no;no;no;telephone
47;blue-collar;married;basic.4y;no;yes;no;telephone
29;admin.;single;high.school;no;no;no;cellular
27;services;single;university.degree;no;no;no;cellular
44;admin.;divorced;university.degree;no;no;no;cellular
46;admin.;divorced;university.degree;no;yes;no;telephone
45;entrepreneur;married;university.degree;unknown;yes;yes;cellular
50;blue-collar;married;basic.4y;no;no;yes;cellular
55;services;married;basic.6y;unknown;yes;no;cellular
39;technician;divorced;high.school;no;no;no;cellular
29;technician;single;university.degree;no;yes;yes;cellular
40;management;married;high.school;no;no;yes;cellular
44;technician;married;professional.course;unknown;yes;no;telephone
38;technician;married;professional.course;no;yes;no;cellular
36;technician;divorced;professional.course;no;no;no;telephone
28;blue-collar;married;basic.6y;unknown;no;no;cellular
47;admin.;single;unknown;unknown;no;no;telephone
34;admin.;married;university.degree;no;no;no;cellular
38;technician;married;university.degree;no;yes;yes;cellular
33;services;married;high.school;unknown;yes;no;telephone
51;technician;single;university.degree;no;no;no;cellular
30;blue-collar;single;basic.4y;unknown;yes;no;telephone
48;technician;married;university.degree;no;no;no;cellular
28;blue-collar;single;basic.9y;no;yes;no;telephone
36;blue-collar;married;basic.6y;no;yes;no;telephone
46;management;divorced;high.school;no;no;no;cellular
31;technician;single;unknown;no;yes;no;cellular
20;student;single;unknown;no;no;no;cellular
35;services;married;high.school;unknown;yes;no;cellular
38;blue-collar;married;basic.9y;unknown;unknown;unknown;telephone
76;retired;married;university.degree;no;no;no;cellular
45;entrepreneur;divorced;professional.course;no;yes;no;cellular
32;housemaid;married;basic.4y;no;yes;yes;cellular
39;management;single;university.degree;unknown;no;no;cellular
32;admin.;married;university.degree;no;no;no;telephone
29;admin.;single;basic.9y;no;no;no;cellular
44;services;married;professional.course;no;no;no;cellular
32;services;married;high.school;no;no;yes;cellular
56;retired;married;university.degree;no;yes;no;cellular
33;blue-collar;married;basic.9y;no;yes;no;cellular
39;management;married;high.school;no;no;no;cellular
24;technician;married;university.degree;no;yes;yes;cellular
33;admin.;single;university.degree;no;yes;no;cellular
58;entrepreneur;divorced;university.degree;no;no;no;telephone
29;admin.;single;university.degree;no;yes;no;telephone
31;admin.;married;university.degree;no;yes;no;cellular
27;admin.;married;university.degree;no;no;no;telephone
60;admin.;divorced;professional.course;no;yes;no;cellular
55;entrepreneur;married;professional.course;no;yes;yes;cellular
37;blue-collar;married;basic.9y;no;yes;no;cellular
52;admin.;married;unknown;no;yes;no;telephone
46;services;married;high.school;no;yes;no;cellular
42;blue-collar;divorced;basic.6y;no;yes;no;cellular
35;admin.;single;university.degree;no;yes;no;cellular
49;technician;divorced;unknown;no;yes;yes;cellular
29;services;divorced;high.school;no;no;yes;telephone
32;blue-collar;married;basic.9y;no;no;no;cellular
37;self-employed;married;university.degree;no;no;no;cellular
39;technician;single;professional.course;unknown;no;no;telephone
51;services;married;high.school;unknown;yes;no;telephone
28;admin.;single;high.school;no;yes;no;cellular
34;management;married;university.degree;no;yes;no;cellular
31;technician;single;high.school;no;yes;yes;cellular
31;admin.;married;university.degree;no;yes;no;cellular
31;admin.;single;university.degree;no;yes;no;telephone
38;self-employed;single;university.degree;no;no;no;telephone
33;unemployed;married;basic.9y;no;no;no;telephone
32;technician;single;university.degree;no;no;no;cellular
54;technician;married;professional.course;unknown;yes;no;cellular
41;admin.;divorced;high.school;no;yes;no;telephone
59;services;married;basic.4y;unknown;no;no;cellular
57;retired;married;university.degree;no;yes;no;cellular
38;entrepreneur;divorced;university.degree;no;yes;no;cellular
46;admin.;married;university.degree;no;yes;no;telephone
37;unemployed;single;university.degree;no;yes;yes;cellular
47;services;single;basic.9y;no;unknown;unknown;telephone
45;admin.;single;university.degree;no;no;no;cellular
36;blue-collar;married;basic.6y;no;yes;no;telephone
40;unemployed;single;high.school;no;yes;no;cellular
38;blue-collar;married;basic.9y;no;no;no;cellular
44;blue-collar;married;high.school;unknown;no;no;telephone
25;self-employed;married;university.degree;no;yes;no;telephone
30;blue-collar;single;basic.6y;no;yes;no;telephone
43;management;married;professional.course;no;no;no;cellular
58;retired;married;basic.6y;unknown;no;no;telephone
31;technician;married;professional.course;no;yes;no;telephone
53;management;married;university.degree;no;no;no;cellular
52;admin.;married;unknown;no;no;no;cellular
