age;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed
30;may;fri;487;2;999;0;nonexistent;-1.8;92.893;-46.2;1.313;5099.1
39;may;fri;346;4;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191
25;jun;wed;227;1;999;0;nonexistent;1.4;94.465;-41.8;4.962;5228.1
38;jun;fri;17;3;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1
47;nov;mon;58;1;999;0;nonexistent;-0.1;93.2;-42;4.191;5195.8
32;sep;thu;128;3;999;2;failure;-1.1;94.199;-37.5;0.884;4963.6
32;sep;mon;290;4;999;0;nonexistent;-1.1;94.199;-37.5;0.879;4963.6
41;nov;mon;44;2;999;0;nonexistent;-0.1;93.2;-42;4.191;5195.8
31;nov;tue;68;1;999;1;failure;-0.1;93.2;-42;4.153;5195.8
35;may;thu;170;1;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191
25;jul;thu;301;1;999;0;nonexistent;1.4;93.918;-42.7;4.958;5228.1
36;jul;thu;148;1;999;0;nonexistent;1.4;93.918;-42.7;4.968;5228.1
36;may;wed;97;2;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191
47;jun;thu;211;2;999;0;nonexistent;1.4;94.465;-41.8;4.958;5228.1
29;may;fri;553;2;999;0;nonexistent;-1.8;92.893;-46.2;1.313;5099.1
27;jul;wed;698;2;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1
44;jul;wed;191;6;999;0;nonexistent;1.4;93.918;-42.7;4.957;5228.1
46;jul;mon;59;4;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
45;aug;mon;38;2;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1
50;jul;tue;849;1;999;0;nonexistent;1.4;93.918;-42.7;4.961;5228.1
55;jul;tue;326;6;999;0;nonexistent;1.4;93.918;-42.7;4.962;5228.1
39;mar;mon;222;1;12;2;success;-1.8;93.369;-34.8;0.639;5008.7
29;aug;wed;626;3;999;0;nonexistent;1.4;93.444;-36.1;4.967;5228.1
40;aug;wed;119;1;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1
44;may;fri;388;7;999;0;nonexistent;1.1;93.994;-36.4;4.864;5191
38;aug;mon;479;1;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1
36;may;wed;446;1;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191
28;may;mon;68;2;999;1;failure;-1.8;92.893;-46.2;1.299;5099.1
47;may;thu;127;1;999;0;nonexistent;1.1;93.994;-36.4;4.86;5191
34;aug;tue;109;1;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1
38;mar;tue;113;1;999;1;failure;-1.8;92.843;-50;1.687;5099.1
33;jun;mon;393;3;999;0;nonexistent;1.4;94.465;-41.8;4.865;5228.1
51;jun;fri;151;2;999;0;nonexistent;-2.9;92.963;-40.8;1.268;5076.2
30;jun;tue;256;1;999;0;nonexistent;1.4;94.465;-41.8;4.864;5228.1
48;aug;thu;42;7;999;0;nonexistent;1.4;93.444;-36.1;4.962;5228.1
28;jun;wed;525;1;999;0;nonexistent;1.4;94.465;-41.8;4.864;5228.1
36;may;wed;57;1;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191
46;nov;wed;499;1;999;0;nonexistent;-0.1;93.2;-42;4.12;5195.8
31;may;wed;84;1;999;1;failure;-1.8;92.893;-46.2;1.334;5099.1
