,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
969,970,144.0,0.0,USA,50000000.0,52822418.0,47764,219.0,204.0,44000,0.0,769.0,726.0,681.0,3580,7.4,Good
3981,3982,25.0,5.0,USA,,,36265,147.0,55.0,0,,443.0,421.0,395.0,2195,8.4,Excellent
710,711,115.0,0.0,USA,60000000.0,143151473.0,116681,320.0,180.0,11000,64.0,2000.0,899.0,664.0,4811,7.1,Good
1082,1083,101.0,0.0,Germany,60000000.0,82931301.0,43358,228.0,132.0,0,126.0,3000.0,949.0,586.0,6292,5.5,Fair
2030,2031,110.0,4.0,Germany,24000000.0,25167270.0,30119,263.0,156.0,455,119.0,11000.0,592.0,265.0,12254,6.3,Good
580,581,106.0,0.0,USA,72000000.0,227965690.0,271592,2335.0,208.0,0,0.0,710.0,529.0,242.0,1675,6.7,Good
3676,3677,97.0,0.0,France,5500000.0,3629758.0,44151,110.0,112.0,0,25.0,517.0,86.0,57.0,745,7.9,Good
442,443,85.0,0.0,USA,80000000.0,145771527.0,117212,367.0,180.0,0,255.0,1000.0,533.0,443.0,3112,7.2,Good
3094,3095,95.0,2.0,USA,10000000.0,63319509.0,67115,389.0,96.0,0,7.0,23000.0,1000.0,1000.0,28734,5.8,Fair
2197,2198,93.0,2.0,USA,20000000.0,38037513.0,49680,117.0,43.0,0,12.0,18000.0,769.0,636.0,20188,6.2,Good
2998,2999,114.0,0.0,USA,10000000.0,447750.0,18520,133.0,81.0,0,0.0,865.0,685.0,403.0,2126,7.2,Good
3135,3136,123.0,1.0,USA,10000000.0,18272447.0,3119,35.0,14.0,331,5.0,556.0,475.0,338.0,2149,5.9,Fair
3495,3496,106.0,1.0,USA,7000000.0,9190525.0,102125,324.0,341.0,10000,1000.0,816.0,105.0,98.0,1120,7.0,Good
45,46,123.0,0.0,USA,190000000.0,202351611.0,465019,995.0,654.0,129000,395.0,17000.0,11000.0,1000.0,32392,7.0,Good
3746,3747,107.0,0.0,USA,5000000.0,12200000.0,7973,65.0,29.0,0,8.0,926.0,400.0,268.0,2383,6.3,Good
1876,1877,93.0,0.0,USA,80000000.0,84185387.0,33180,149.0,94.0,567,67.0,4000.0,2000.0,596.0,7800,4.9,Fair
2607,2608,107.0,1.0,USA,15000000.0,111936400.0,87538,79.0,27.0,0,425.0,742.0,384.0,247.0,2151,6.0,Fair
448,449,101.0,4.0,USA,80000000.0,133668525.0,107817,255.0,139.0,14000,221.0,12000.0,11000.0,11000.0,39269,5.4,Fair
3662,3663,141.0,6.0,USA,5600000.0,3064356.0,3433,81.0,68.0,160,407.0,688.0,659.0,501.0,2584,6.9,Good
2383,2384,110.0,0.0,USA,,560512.0,550,3.0,63.0,599,44.0,8000.0,691.0,85.0,8972,7.8,Good
3153,3154,76.0,0.0,USA,3000000.0,13684949.0,4564,43.0,33.0,227,14.0,1000.0,811.0,636.0,3752,5.9,Fair
1579,1580,103.0,0.0,USA,31000000.0,53133888.0,50389,136.0,74.0,0,155.0,687.0,151.0,125.0,1440,6.3,Good
738,739,130.0,2.0,USA,60000000.0,80033643.0,226570,448.0,387.0,38000,188.0,10000.0,3000.0,1000.0,16385,7.0,Good
1892,1893,115.0,1.0,USA,25000000.0,55973336.0,57040,365.0,70.0,0,43.0,5000.0,848.0,775.0,9082,6.1,Good
2577,2578,95.0,0.0,USA,15000000.0,4193025.0,30682,194.0,42.0,0,89.0,1000.0,852.0,322.0,2518,6.8,Good
135,136,119.0,0.0,USA,150000000.0,61937495.0,89442,432.0,357.0,0,394.0,12000.0,490.0,162.0,13071,5.8,Fair
1974,1975,127.0,7.0,Chile,26000000.0,12188642.0,21098,56.0,120.0,0,36.0,562.0,499.0,399.0,2230,6.9,Good
3735,3736,100.0,0.0,USA,5000000.0,14343976.0,22961,291.0,129.0,1000,6.0,935.0,120.0,65.0,1327,4.5,Fair
1986,1987,116.0,0.0,USA,25000000.0,7156933.0,14581,74.0,142.0,348,529.0,442.0,252.0,174.0,1134,6.7,Good
2942,2943,89.0,0.0,USA,12000000.0,27281507.0,33850,147.0,75.0,0,53.0,227.0,94.0,84.0,534,7.7,Good
4300,4301,85.0,1.0,USA,3800000.0,100669.0,2522,11.0,45.0,407,0.0,22000.0,12000.0,966.0,36885,5.8,Fair
2457,2458,116.0,2.0,Australia,18000000.0,4435083.0,27882,119.0,186.0,18000,6.0,25000.0,14000.0,212.0,39463,7.1,Good
2611,2612,103.0,2.0,South Korea,,,2659,25.0,43.0,558,2.0,94.0,80.0,13.0,213,5.7,Fair
284,285,174.0,1.0,UK,100000000.0,261970615.0,387616,858.0,232.0,0,0.0,11000.0,10000.0,9000.0,35672,7.4,Good
4992,4993,97.0,0.0,USA,4000000.0,,48236,180.0,161.0,10000,18.0,852.0,680.0,236.0,1922,6.1,Good
4420,4421,107.0,0.0,USA,,402820.0,10896,57.0,88.0,415,234.0,947.0,530.0,442.0,2747,6.9,Good
3845,3846,108.0,0.0,USA,15000000.0,13060843.0,149528,454.0,202.0,0,0.0,22000.0,3000.0,346.0,26050,7.7,Good
3209,3210,98.0,0.0,USA,11000000.0,1987762.0,59297,216.0,376.0,12000,607.0,11000.0,414.0,251.0,11853,6.7,Good
434,435,123.0,1.0,USA,82000000.0,34543701.0,100001,289.0,170.0,0,55.0,3000.0,975.0,956.0,5839,5.9,Fair
3027,3028,112.0,1.0,USA,11000000.0,90556401.0,43795,171.0,128.0,0,197.0,755.0,734.0,632.0,3507,4.5,Fair
3911,3912,120.0,2.0,USA,4000000.0,,12981,121.0,70.0,0,1000.0,862.0,403.0,268.0,1652,7.4,Good
1742,1743,147.0,0.0,UK,29000000.0,5899797.0,9913,51.0,17.0,0,0.0,18000.0,427.0,400.0,18855,7.5,Good
4475,4476,101.0,4.0,USA,1250000.0,,24959,136.0,97.0,0,0.0,287.0,160.0,66.0,581,8.0,Good
781,782,110.0,0.0,UK,40000000.0,33927476.0,19176,165.0,95.0,956,0.0,510.0,344.0,308.0,1976,5.7,Fair
1002,1003,98.0,0.0,Germany,50000000.0,26536120.0,49926,286.0,131.0,0,323.0,933.0,631.0,511.0,3357,6.5,Good
3752,3753,92.0,4.0,USA,5000000.0,11675178.0,9509,53.0,59.0,11000,89.0,729.0,706.0,355.0,2848,3.5,Bad
4893,4894,127.0,0.0,USA,5000000.0,,22124,108.0,69.0,0,130.0,618.0,53.0,51.0,800,7.2,Good
1696,1697,114.0,0.0,USA,30000000.0,12831121.0,44979,298.0,98.0,0,118.0,489.0,93.0,40.0,679,7.0,Good
326,327,146.0,2.0,China,94000000.0,9213.0,38690,130.0,136.0,13000,611.0,23000.0,196.0,28.0,23240,7.6,Good
1436,1437,100.0,0.0,UK,33000000.0,39532308.0,198701,1138.0,226.0,0,545.0,14000.0,2000.0,766.0,17902,6.7,Good
2099,2100,108.0,2.0,UK,,3108216.0,2587,21.0,134.0,0,24.0,150.0,104.0,100.0,540,6.4,Good
2124,2125,120.0,1.0,France,16000000.0,634277.0,5166,27.0,78.0,815,2.0,809.0,521.0,80.0,1651,7.3,Good
3385,3386,138.0,0.0,USA,8000000.0,10269307.0,53251,188.0,91.0,0,78.0,12000.0,3000.0,968.0,17524,6.3,Good
882,883,280.0,0.0,USA,56000000.0,12870569.0,13215,497.0,84.0,953,33.0,789.0,640.0,67.0,1671,6.3,Good
1584,1585,113.0,0.0,USA,45000000.0,170684505.0,172080,1017.0,223.0,0,252.0,539.0,151.0,90.0,813,7.2,Good
1130,1131,74.0,2.0,USA,40000000.0,7262288.0,17307,186.0,87.0,892,188.0,11000.0,1000.0,865.0,13917,6.5,Good
3510,3511,99.0,0.0,USA,7000000.0,2344847.0,18561,119.0,158.0,0,342.0,1000.0,518.0,501.0,2158,6.8,Good
2910,2911,105.0,1.0,USA,10500000.0,26589953.0,165792,392.0,391.0,44000,20.0,22000.0,982.0,844.0,26233,6.7,Good
339,340,172.0,1.0,USA,94000000.0,340478898.0,1100446,2417.0,294.0,10000,0.0,16000.0,5000.0,857.0,23052,8.7,Excellent
1233,1234,116.0,7.0,USA,42000000.0,54414716.0,114294,187.0,196.0,12000,51.0,18000.0,11000.0,465.0,30571,6.3,Good
2878,2879,112.0,1.0,France,100000000.0,3058380.0,4767,69.0,61.0,186,83.0,2000.0,370.0,8.0,2389,7.3,Good
1997,1998,92.0,2.0,USA,25000000.0,1550000.0,30628,471.0,143.0,937,892.0,783.0,595.0,492.0,2930,2.9,Bad
148,149,133.0,0.0,UK,142000000.0,160201106.0,169914,1185.0,264.0,0,93.0,769.0,766.0,746.0,2538,6.1,Good
2735,2736,115.0,2.0,USA,7000000.0,529766.0,22345,144.0,52.0,0,39.0,12000.0,970.0,642.0,14889,6.8,Good
1178,1179,144.0,1.0,USA,65000000.0,56083966.0,137003,658.0,167.0,0,241.0,13000.0,3000.0,996.0,18761,6.9,Good
4698,4699,91.0,3.0,USA,750000.0,,514,1.0,8.0,158,0.0,696.0,320.0,137.0,1210,4.9,Fair
2548,2549,111.0,0.0,USA,18500000.0,6462576.0,1449,30.0,24.0,0,19.0,241.0,118.0,107.0,824,5.4,Fair
3486,3487,89.0,0.0,USA,7000000.0,15818967.0,13913,120.0,137.0,0,14.0,971.0,479.0,270.0,2517,4.0,Bad
3245,3246,91.0,0.0,Canada,10000000.0,,1642,11.0,5.0,0,8.0,485.0,152.0,111.0,964,4.5,Fair
3537,3538,80.0,1.0,Russia,7000000.0,,1159,9.0,10.0,453,0.0,99.0,62.0,26.0,218,5.3,Fair
2527,2528,80.0,0.0,France,11000000.0,,10706,39.0,41.0,0,0.0,677.0,262.0,168.0,1364,6.6,Good
4146,4147,105.0,8.0,USA,1500000.0,3123749.0,746,27.0,35.0,88,39.0,267.0,225.0,183.0,1231,6.5,Good
4916,4917,89.0,3.0,USA,2500000.0,,374,10.0,25.0,83,0.0,236.0,189.0,31.0,518,5.4,Fair
3853,3854,133.0,1.0,USA,4500000.0,727883.0,580999,2110.0,283.0,33000,219.0,15000.0,933.0,701.0,17040,8.1,Excellent
671,672,118.0,6.0,USA,65000000.0,85911262.0,24735,213.0,176.0,16000,87.0,2000.0,1000.0,929.0,4796,5.2,Fair
771,772,134.0,1.0,USA,60000000.0,37479778.0,124222,259.0,306.0,23000,16000.0,13000.0,11000.0,204.0,24458,7.4,Good
2550,2551,112.0,0.0,Spain,13500000.0,37623143.0,467234,1083.0,406.0,27000,0.0,634.0,269.0,250.0,1322,8.2,Excellent
1639,1640,125.0,2.0,USA,30000000.0,45645204.0,39306,119.0,63.0,0,0.0,939.0,255.0,237.0,1748,6.6,Good
1645,1646,99.0,0.0,USA,30000000.0,42057340.0,158354,691.0,397.0,11000,0.0,2000.0,1000.0,828.0,5642,6.6,Good
1092,1093,107.0,5.0,USA,45000000.0,60786269.0,90539,379.0,155.0,0,18.0,811.0,625.0,560.0,3106,5.6,Fair
3057,3058,118.0,1.0,USA,11000000.0,9170214.0,171882,292.0,80.0,14000,529.0,40000.0,29000.0,472.0,69746,7.8,Good
4920,4921,89.0,0.0,Iran,180000.0,925402.0,27882,130.0,46.0,0,373.0,36.0,35.0,27.0,100,8.5,Excellent
813,814,133.0,0.0,USA,58800000.0,350123553.0,325264,916.0,490.0,112000,16000.0,14000.0,962.0,318.0,16277,7.3,Good
4243,4244,100.0,0.0,USA,2100000.0,,6,1.0,1.0,14,0.0,749.0,354.0,338.0,1814,6.7,Good
19,20,164.0,0.0,New Zealand,250000000.0,255108370.0,354228,802.0,422.0,65000,0.0,5000.0,972.0,773.0,9152,7.5,Good
745,746,146.0,2.0,USA,70000000.0,77862546.0,266310,690.0,171.0,14000,12000.0,18000.0,992.0,451.0,20454,7.7,Good
2134,2135,96.0,0.0,USA,17000000.0,42660000.0,25086,87.0,60.0,1000,8.0,533.0,219.0,199.0,1254,4.8,Fair
3934,3935,99.0,4.0,USA,4000000.0,562059.0,8535,113.0,41.0,872,60.0,979.0,665.0,444.0,3130,7.0,Good
2496,2497,90.0,0.0,Canada,20000000.0,45670855.0,67978,279.0,178.0,12000,52.0,723.0,346.0,298.0,1978,5.6,Fair
3850,3851,115.0,3.0,Spain,700000000.0,1687311.0,2412,40.0,35.0,539,98.0,341.0,26.0,4.0,371,7.2,Good
2876,2877,112.0,1.0,USA,13000000.0,3169424.0,18442,59.0,104.0,689,37.0,748.0,573.0,548.0,2417,6.8,Good
1671,1672,108.0,1.0,USA,30000000.0,26525834.0,21998,227.0,110.0,0,631.0,631.0,199.0,95.0,1023,6.8,Good
958,959,98.0,3.0,USA,65000000.0,67128202.0,43328,110.0,166.0,0,99.0,12000.0,536.0,433.0,14007,5.7,Fair
815,816,22.0,1.0,USA,3000000.0,,24420,94.0,20.0,990,,870.0,558.0,271.0,2433,6.6,Good
1350,1351,94.0,1.0,USA,30000000.0,71038190.0,23473,123.0,76.0,8000,99.0,598.0,557.0,377.0,3552,4.4,Fair
3635,3636,104.0,5.0,France,,181798.0,2591,36.0,60.0,52,324.0,173.0,67.0,27.0,282,6.6,Good
3277,3278,88.0,0.0,USA,83532.0,30859000.0,96410,826.0,277.0,0,365.0,383.0,371.0,177.0,1094,7.5,Good
3396,3397,60.0,0.0,,,,22848,85.0,18.0,18000,,3000.0,788.0,648.0,6034,8.3,Excellent
3984,3985,88.0,0.0,USA,3500000.0,83400000.0,160281,427.0,134.0,16000,104.0,628.0,575.0,318.0,2726,7.8,Good
908,909,172.0,1.0,USA,55000000.0,22843047.0,6082,207.0,78.0,853,438.0,852.0,637.0,466.0,2397,5.9,Fair
