;FSP;DBF;WNR;NPW;TPW
0;61;1.0;17;11.0;70
1;61;1.0;13;22.384615384615383;80
2;52;4.0;37;23.0;106
3;53;6.0;8;22.384615384615383;104
4;76;4.0;16;13.0;128
5;65;3.0;35;12.0;108
6;68;3.0;41;30.0;173
7;47;4.0;21;9.0;78
8;64;4.344;20;14.0;67
9;77;4.0;6;22.384615384615383;162
10;53;7.0;47;33.0;126
11;57;0.0;50;19.0;177
12;65;4.0;35;43.0;74
13;64;4.0;49;46.0;137
14;60;2.0;4;22.384615384615383;151
15;63;1.0;23;14.0;54
16;68;4.0;22;21.0;75
17;53;12.0;21;22.384615384615383;129
18;50;3.0;28;31.0;91
19;66;2.0;31;13.0;94
20;60;8.0;40;28.0;140
21;61;3.0;2;22.384615384615383;77
22;58;1.0;25;14.0;101
23;69;2.0;11;8.0;95
24;58;3.0;19;5.0;65
25;57;4.0;9;22.384615384615383;150
26;55;3.0;20;22.384615384615383;148
27;63;9.0;21;22.384615384615383;154
28;66;1.0;48;50.0;93
29;73;6.0;2;22.384615384615383;55
30;60;5.0;33;35.0;125
31;66;0.0;35;23.0;97
32;52;3.0;34;34.0;74
33;51;11.0;51;32.0;104
34;58;4.0;5;22.384615384615383;133
35;61;6.0;44;11.0;125
37;58;4.0;63;31.0;145
38;53;6.0;33;22.0;98
39;62;1.0;36;15.0;104
40;54;2.0;27;3.0;71
41;68;8.0;6;22.384615384615383;108
42;69;0.0;15;22.384615384615383;104
43;46;2.0;22;12.0;104
44;52;1.0;6;22.384615384615383;89
45;63;6.0;9;22.384615384615383;95
46;57;9.0;54;11.0;173
47;69;2.0;32;5.0;84
48;57;1.0;55;18.0;107
49;82;1.0;1;22.384615384615383;95
50;54;13.0;71;8.0;133
51;57;6.0;58;35.0;117
52;58;9.0;10;22.384615384615383;105
53;63;3.0;1;22.384615384615383;76
54;55;6.0;36;7.0;103
55;64;7.0;48;30.0;127
56;61;9.0;46;30.0;147
57;61;7.0;28;17.0;141
58;67;6.0;38;15.0;106
59;59;5.0;67;11.0;175
60;62;1.0;19;20.0;76
61;49;8.0;6;22.384615384615383;138
62;54;9.0;54;23.0;135
63;62;1.0;13;5.0;30
64;52;7.0;14;11.0;59
65;53;5.0;31;38.0;106
66;72;4.0;30;11.0;88
67;58;12.0;51;33.0;144
68;77;1.0;39;12.0;97
69;58;3.0;66;17.0;159
70;68;3.0;30;35.0;121
71;56;4.0;61;29.0;142
72;55;1.0;32;31.0;113
73;60;10.0;76;38.0;164
74;79;1.0;57;26.0;149
75;55;5.0;48;21.0;126
76;57;2.0;11;22.384615384615383;130
77;65;5.0;30;15.0;87
78;51;6.0;33;18.0;95
79;64;4.0;29;25.0;93
80;62;3.0;14;13.0;72
82;50;7.0;15;22.384615384615383;156
83;64;6.0;47;24.0;110
84;63;8.0;12;22.384615384615383;123
85;58;8.0;43;15.0;143
87;59;5.0;25;7.0;106
88;69;6.0;72;28.0;162
89;50;5.0;78;32.0;188
90;70;2.0;23;18.0;95
91;64;2.0;63;25.0;116
92;70;3.0;17;7.0;68
93;57;10.0;47;15.0;165
94;58;9.0;34;29.0;92
95;74;1.0;39;14.0;91
96;65;1.0;14;9.0;71
97;60;3.0;43;11.0;108
98;65;3.0;51;25.0;140
99;58;8.0;30;27.0;87
100;68;0.0;38;13.0;98
101;67;6.0;82;30.0;164
102;57;1.0;32;18.0;93
103;69;5.0;27;19.0;66
104;66;0.0;40;27.0;94
105;72;5.0;35;17.0;105
106;64;2.0;29;18.0;106
107;58;3.0;31;22.0;65
108;59;5.0;50;53.0;107
109;64;5.0;17;30.0;56
110;67;0.0;21;13.0;107
111;59;7.0;20;16.0;55
112;56;3.0;57;25.0;118
114;52;3.0;38;18.0;92
115;52;1.0;29;25.0;72
116;62;3.0;48;24.0;137
117;60;3.0;38;35.0;114
118;71;1.0;36;19.0;129
119;58;5.0;51;30.0;153
120;52;4.0;43;28.0;128
121;61;1.0;41;27.0;121
122;73;7.0;42;36.0;147
123;62;7.0;60;31.0;142
124;65;1.0;28;10.0;105
125;78;3.0;19;8.0;88
